lat,long,z
70.16887539,-26.98521131,268
70.16887533,-26.98441896,262
70.16887526,-26.98362661,256
70.16887518,-26.98283427,257
70.16887511,-26.98204192,269
70.16887502,-26.98124958,282
70.16887494,-26.98045723,290
70.16887485,-26.97966488,293
70.16887476,-26.97887254,298
70.16887466,-26.97808019,306
70.16887457,-26.97728784,316
70.16887446,-26.9764955,333
70.16887436,-26.97570315,354
70.16860683,-26.99234252,362
70.16860679,-26.99155019,355
70.16860675,-26.99075785,346
70.16860671,-26.98996552,333
70.16860667,-26.98917318,321
70.16860662,-26.98838084,307
70.16860656,-26.98758851,293
70.16860651,-26.98679617,282
70.16860645,-26.98600384,274
70.16860638,-26.9852115,270
70.16860632,-26.98441916,266
70.16860625,-26.98362683,261
70.16860617,-26.98283449,259
70.16860609,-26.98204216,264
70.16860601,-26.98124982,275
70.16860593,-26.98045748,281
70.16860584,-26.97966515,283
70.16860575,-26.97887281,292
70.16860565,-26.97808048,304
70.16860556,-26.97728814,316
70.16860545,-26.9764958,329
70.16860535,-26.97570347,349
70.16860524,-26.97491113,368
70.16833778,-26.9915503,361
70.16833774,-26.99075797,354
70.1683377,-26.98996565,347
70.16833765,-26.98917332,331
70.16833761,-26.98838099,313
70.16833755,-26.98758867,299
70.1683375,-26.98679634,287
70.16833744,-26.98600402,277
70.16833737,-26.98521169,273
70.16833731,-26.98441937,271
70.16833723,-26.98362704,267
70.16833716,-26.98283471,264
70.16833708,-26.98204239,265
70.168337,-26.98125006,271
70.16833692,-26.98045774,277
70.16833683,-26.97966541,282
70.16833674,-26.97887309,292
70.16833664,-26.97808076,308
70.16833654,-26.97728844,319
70.16833644,-26.97649611,327
70.16833634,-26.97570378,341
70.16833623,-26.97491146,365
70.16833611,-26.97411913,389
70.16806877,-26.99155041,368
70.16806873,-26.99075809,361
70.16806869,-26.98996578,355
70.16806864,-26.98917346,340
70.16806859,-26.98838115,321
70.16806854,-26.98758883,306
70.16806848,-26.98679651,291
70.16806842,-26.9860042,280
70.16806836,-26.98521188,278
70.16806829,-26.98441957,276
70.16806822,-26.98362725,271
70.16806815,-26.98283494,267
70.16806807,-26.98204262,266
70.16806799,-26.98125031,269
70.16806791,-26.98045799,274
70.16806782,-26.97966568,280
70.16806773,-26.97887336,294
70.16806763,-26.97808105,309
70.16806753,-26.97728873,320
70.16806743,-26.97649642,328
70.16806733,-26.9757041,332
70.16806722,-26.97491178,353
70.1680671,-26.97411947,372
70.16779976,-26.99155052,376
70.16779972,-26.99075821,369
70.16779968,-26.98996591,362
70.16779963,-26.9891736,348
70.16779958,-26.9883813,332
70.16779953,-26.98758899,316
70.16779947,-26.98679669,300
70.16779941,-26.98600438,288
70.16779935,-26.98521208,286
70.16779928,-26.98441977,282
70.16779921,-26.98362747,276
70.16779914,-26.98283516,271
70.16779906,-26.98204286,268
70.16779898,-26.98125055,269
70.16779889,-26.98045825,272
70.16779881,-26.97966594,277
70.16779872,-26.97887364,289
70.16779862,-26.97808133,304
70.16779852,-26.97728903,319
70.16779842,-26.97649672,329
70.16779831,-26.97570442,336
70.1677982,-26.97491211,348
70.16779809,-26.97411981,363
70.16779798,-26.9733275,376
70.16753075,-26.99155063,384
70.16753071,-26.99075833,378
70.16753067,-26.98996604,371
70.16753062,-26.98917374,355
70.16753057,-26.98838145,340
70.16753052,-26.98758915,327
70.16753046,-26.98679686,314
70.1675304,-26.98600456,300
70.16753034,-26.98521227,294
70.16753027,-26.98441997,292
70.1675302,-26.98362768,284
70.16753013,-26.98283538,273
70.16753005,-26.98204309,269
70.16752997,-26.98125079,269
70.16752988,-26.9804585,270
70.1675298,-26.97966621,276
70.1675297,-26.97887391,286
70.16752961,-26.97808162,300
70.16752951,-26.97728932,316
70.16752941,-26.97649703,331
70.1675293,-26.97570473,341
70.16752919,-26.97491244,355
70.16752908,-26.97412014,365
70.16752897,-26.97332785,373
70.16752885,-26.97253555,388
70.1672617,-26.99075845,388
70.16726166,-26.98996617,380
70.16726161,-26.98917388,362
70.16726156,-26.9883816,343
70.16726151,-26.98758931,337
70.16726145,-26.98679703,333
70.16726139,-26.98600475,317
70.16726133,-26.98521246,305
70.16726126,-26.98442018,301
70.16726119,-26.98362789,293
70.16726112,-26.98283561,279
70.16726104,-26.98204332,272
70.16726096,-26.98125104,272
70.16726087,-26.98045875,272
70.16726078,-26.97966647,275
70.16726069,-26.97887419,283
70.1672606,-26.9780819,296
70.1672605,-26.97728962,311
70.1672604,-26.97649733,327
70.16726029,-26.97570505,340
70.16726018,-26.97491276,355
70.16726007,-26.97412048,366
70.16725995,-26.97332819,374
70.16725983,-26.97253591,389
70.16699269,-26.99075857,392
70.16699264,-26.9899663,384
70.1669926,-26.98917402,369
70.16699255,-26.98838175,354
70.1669925,-26.98758948,347
70.16699244,-26.9867972,346
70.16699238,-26.98600493,336
70.16699232,-26.98521265,322
70.16699225,-26.98442038,313
70.16699218,-26.98362811,304
70.1669921,-26.98283583,290
70.16699203,-26.98204356,283
70.16699195,-26.98125128,280
70.16699186,-26.98045901,276
70.16699177,-26.97966673,276
70.16699168,-26.97887446,281
70.16699159,-26.97808219,290
70.16699149,-26.97728991,304
70.16699139,-26.97649764,318
70.16699128,-26.97570536,331
70.16699117,-26.97491309,346
70.16699106,-26.97412082,361
70.16699094,-26.97332854,372
70.16699082,-26.97253627,383
70.1669907,-26.97174399,399
70.16672368,-26.99075869,399
70.16672363,-26.98996643,389
70.16672359,-26.98917417,378
70.16672354,-26.9883819,366
70.16672349,-26.98758964,356
70.16672343,-26.98679737,349
70.16672337,-26.98600511,346
70.1667233,-26.98521285,336
70.16672324,-26.98442058,320
70.16672317,-26.98362832,310
70.16672309,-26.98283605,301
70.16672302,-26.98204379,294
70.16672293,-26.98125153,288
70.16672285,-26.98045926,280
70.16672276,-26.979667,278
70.16672267,-26.97887474,282
70.16672258,-26.97808247,288
70.16672248,-26.97729021,297
70.16672237,-26.97649794,310
70.16672227,-26.97570568,320
70.16672216,-26.97491342,334
70.16672205,-26.97412115,354
70.16672193,-26.97332889,370
70.16672181,-26.97253662,381
70.16672169,-26.97174436,391
70.16672156,-26.9709521,402
70.16645462,-26.98996656,394
70.16645458,-26.98917431,385
70.16645453,-26.98838205,375
70.16645447,-26.9875898,364
70.16645442,-26.98679755,355
70.16645436,-26.98600529,348
70.16645429,-26.98521304,337
70.16645423,-26.98442078,321
70.16645416,-26.98362853,310
70.16645408,-26.98283628,305
70.166454,-26.98204402,300
70.16645392,-26.98125177,293
70.16645384,-26.98045952,284
70.16645375,-26.97966726,282
70.16645366,-26.97887501,284
70.16645356,-26.97808276,288
70.16645347,-26.9772905,292
70.16645336,-26.97649825,301
70.16645326,-26.975706,313
70.16645315,-26.97491374,329
70.16645304,-26.97412149,349
70.16645292,-26.97332924,367
70.1664528,-26.97253698,380
70.16645268,-26.97174473,385
70.16645255,-26.97095248,393
70.16618561,-26.98996669,402
70.16618557,-26.98917445,393
70.16618552,-26.9883822,383
70.16618546,-26.98758996,372
70.16618541,-26.98679772,361
70.16618535,-26.98600547,350
70.16618528,-26.98521323,341
70.16618522,-26.98442099,329
70.16618514,-26.98362874,317
70.16618507,-26.9828365,316
70.16618499,-26.98204426,309
70.16618491,-26.98125201,296
70.16618483,-26.98045977,289
70.16618474,-26.97966753,285
70.16618465,-26.97887528,285
70.16618455,-26.97808304,289
70.16618445,-26.9772908,291
70.16618435,-26.97649856,295
70.16618425,-26.97570631,306
70.16618414,-26.97491407,324
70.16618403,-26.97412183,342
70.16618391,-26.97332958,358
70.16618379,-26.97253734,373
70.16618367,-26.9717451,385
70.16618354,-26.97095285,395
70.16618341,-26.97016061,402
70.16591655,-26.98917459,399
70.1659165,-26.98838235,389
70.16591645,-26.98759012,378
70.16591639,-26.98679789,367
70.16591633,-26.98600566,356
70.16591627,-26.98521342,350
70.1659162,-26.98442119,342
70.16591613,-26.98362896,334
70.16591606,-26.98283672,329
70.16591598,-26.98204449,322
70.1659159,-26.98125226,310
70.16591582,-26.98046003,299
70.16591573,-26.97966779,294
70.16591564,-26.97887556,293
70.16591554,-26.97808333,293
70.16591544,-26.97729109,292
70.16591534,-26.97649886,294
70.16591524,-26.97570663,302
70.16591513,-26.9749144,319
70.16591501,-26.97412216,334
70.1659149,-26.97332993,350
70.16591478,-26.9725377,364
70.16591466,-26.97174546,380
70.16591453,-26.97095323,392
70.1659144,-26.970161,399
70.16591427,-26.96936877,412
70.16564754,-26.98917473,407
70.16564749,-26.98838251,397
70.16564744,-26.98759028,385
70.16564738,-26.98679806,373
70.16564732,-26.98600584,361
70.16564726,-26.98521362,358
70.16564719,-26.98442139,353
70.16564712,-26.98362917,344
70.16564705,-26.98283695,337
70.16564697,-26.98204472,332
70.16564689,-26.9812525,324
70.16564681,-26.98046028,315
70.16564672,-26.97966806,311
70.16564663,-26.97887583,305
70.16564653,-26.97808361,298
70.16564643,-26.97729139,293
70.16564633,-26.97649917,294
70.16564622,-26.97570694,301
70.16564612,-26.97491472,314
70.165646,-26.9741225,328
70.16564589,-26.97333028,344
70.16564577,-26.97253805,357
70.16564564,-26.97174583,373
70.16564552,-26.97095361,386
70.16564539,-26.97016139,391
70.16564525,-26.96936916,405
70.16537848,-26.98838266,408
70.16537843,-26.98759044,394
70.16537837,-26.98679823,379
70.16537831,-26.98600602,367
70.16537825,-26.98521381,362
70.16537818,-26.9844216,358
70.16537811,-26.98362938,349
70.16537804,-26.98283717,342
70.16537796,-26.98204496,337
70.16537788,-26.98125275,331
70.16537779,-26.98046053,324
70.16537771,-26.97966832,316
70.16537761,-26.97887611,310
70.16537752,-26.9780839,304
70.16537742,-26.97729168,298
70.16537732,-26.97649947,296
70.16537721,-26.97570726,299
70.1653771,-26.97491505,309
70.16537699,-26.97412284,322
70.16537688,-26.97333062,340
70.16537676,-26.97253841,355
70.16537663,-26.9717462,367
70.16537651,-26.97095399,377
70.16537638,-26.97016177,385
70.16537624,-26.96936956,401
70.16537611,-26.96857735,432
70.16510947,-26.98838281,424
70.16510942,-26.98759061,409
70.16510936,-26.9867984,392
70.1651093,-26.9860062,379
70.16510924,-26.985214,371
70.16510917,-26.9844218,363
70.1651091,-26.9836296,354
70.16510903,-26.98283739,348
70.16510895,-26.98204519,345
70.16510887,-26.98125299,339
70.16510878,-26.98046079,330
70.16510869,-26.97966859,318
70.1651086,-26.97887638,310
70.16510851,-26.97808418,306
70.16510841,-26.97729198,301
70.16510831,-26.97649978,299
70.1651082,-26.97570758,299
70.16510809,-26.97491537,306
70.16510798,-26.97412317,319
70.16510786,-26.97333097,337
70.16510774,-26.97253877,353
70.16510762,-26.97174657,361
70.16510749,-26.97095436,366
70.16510736,-26.97016216,374
70.16510723,-26.96936996,395
70.16510709,-26.96857776,425
70.16510695,-26.96778556,446
70.16484041,-26.98759077,423
70.16484035,-26.98679858,409
70.16484029,-26.98600638,395
70.16484023,-26.98521419,380
70.16484016,-26.984422,369
70.16484009,-26.98362981,359
70.16484001,-26.98283762,357
70.16483994,-26.98204543,358
70.16483986,-26.98125323,351
70.16483977,-26.98046104,337
70.16483968,-26.97966885,323
70.16483959,-26.97887666,313
70.1648395,-26.97808447,308
70.1648394,-26.97729228,303
70.1648393,-26.97650008,301
70.16483919,-26.97570789,301
70.16483908,-26.9749157,304
70.16483897,-26.97412351,314
70.16483885,-26.97333132,331
70.16483873,-26.97253913,345
70.16483861,-26.97174693,354
70.16483848,-26.97095474,358
70.16483835,-26.97016255,360
70.16483822,-26.96937036,381
70.16483808,-26.96857817,408
70.16483794,-26.96778598,424
70.16457139,-26.98759093,434
70.16457134,-26.98679875,422
70.16457128,-26.98600657,408
70.16457121,-26.98521438,391
70.16457115,-26.9844222,376
70.16457108,-26.98363002,368
70.164571,-26.98283784,366
70.16457093,-26.98204566,366
70.16457084,-26.98125348,359
70.16457076,-26.9804613,344
70.16457067,-26.97966911,327
70.16457058,-26.97887693,319
70.16457049,-26.97808475,313
70.16457039,-26.97729257,308
70.16457028,-26.97650039,307
70.16457018,-26.97570821,307
70.16457007,-26.97491603,306
70.16456996,-26.97412385,308
70.16456984,-26.97333166,321
70.16456972,-26.97253948,339
70.1645696,-26.9717473,349
70.16456947,-26.97095512,354
70.16456934,-26.97016294,358
70.16456921,-26.96937076,372
70.16456907,-26.96857858,396
70.16456893,-26.96778639,411
70.16456879,-26.96699421,418
70.16430233,-26.98679892,432
70.16430227,-26.98600675,415
70.1643022,-26.98521458,403
70.16430214,-26.98442241,392
70.16430207,-26.98363023,382
70.16430199,-26.98283806,375
70.16430191,-26.98204589,370
70.16430183,-26.98125372,362
70.16430175,-26.98046155,349
70.16430166,-26.97966938,333
70.16430157,-26.97887721,324
70.16430147,-26.97808504,319
70.16430138,-26.97729287,314
70.16430127,-26.97650069,310
70.16430117,-26.97570852,309
70.16430106,-26.97491635,307
70.16430095,-26.97412418,306
70.16430083,-26.97333201,315
70.16430071,-26.97253984,331
70.16430059,-26.97174767,343
70.16430046,-26.9709555,350
70.16430033,-26.97016333,357
70.1643002,-26.96937116,373
70.16430006,-26.96857898,392
70.16429992,-26.96778681,405
70.16429978,-26.96699464,412
70.16429963,-26.96620247,426
70.16403332,-26.98679909,440
70.16403326,-26.98600693,423
70.16403319,-26.98521477,415
70.16403313,-26.98442261,406
70.16403305,-26.98363045,395
70.16403298,-26.98283829,382
70.1640329,-26.98204613,375
70.16403282,-26.98125396,365
70.16403274,-26.9804618,350
70.16403265,-26.97966964,339
70.16403256,-26.97887748,332
70.16403246,-26.97808532,327
70.16403236,-26.97729316,320
70.16403226,-26.976501,311
70.16403216,-26.97570884,307
70.16403205,-26.97491668,305
70.16403193,-26.97412452,303
70.16403182,-26.97333236,314
70.1640317,-26.9725402,329
70.16403158,-26.97174804,341
70.16403145,-26.97095588,350
70.16403132,-26.97016371,360
70.16403119,-26.96937155,375
70.16403105,-26.96857939,393
70.16403091,-26.96778723,403
70.16403076,-26.96699507,412
70.16403062,-26.96620291,424
70.16403047,-26.96541075,436
70.1637643,-26.98679926,449
70.16376424,-26.98600711,437
70.16376418,-26.98521496,427
70.16376411,-26.98442281,417
70.16376404,-26.98363066,403
70.16376397,-26.98283851,387
70.16376389,-26.98204636,377
70.16376381,-26.98125421,370
70.16376373,-26.98046206,358
70.16376364,-26.97966991,351
70.16376355,-26.97887776,345
70.16376345,-26.97808561,337
70.16376335,-26.97729346,328
70.16376325,-26.97650131,318
70.16376315,-26.97570916,310
70.16376304,-26.97491701,306
70.16376292,-26.97412485,309
70.16376281,-26.9733327,319
70.16376269,-26.97254055,334
70.16376257,-26.9717484,342
70.16376244,-26.97095625,348
70.16376231,-26.9701641,360
70.16376218,-26.96937195,371
70.16376204,-26.9685798,383
70.1637619,-26.96778765,396
70.16376175,-26.9669955,409
70.16376161,-26.96620335,418
70.16376145,-26.9654112,426
70.16349523,-26.98600729,452
70.16349517,-26.98521515,440
70.1634951,-26.98442301,425
70.16349503,-26.98363087,411
70.16349496,-26.98283873,393
70.16349488,-26.98204659,383
70.1634948,-26.98125445,376
70.16349471,-26.98046231,372
70.16349463,-26.97967017,368
70.16349454,-26.97887803,361
70.16349444,-26.97808589,349
70.16349434,-26.97729375,339
70.16349424,-26.97650161,332
70.16349413,-26.97570947,318
70.16349402,-26.97491733,312
70.16349391,-26.97412519,315
70.1634938,-26.97333305,322
70.16349368,-26.97254091,331
70.16349355,-26.97174877,339
